asset,source,crop_box,qa_status
major/00_the_fool.png,sources/arcana00.jpg,full image,pending visual review
major/01_the_magician.png,sources/arcana01.jpg,full image,pending visual review
major/02_the_high_priestess.png,sources/arcana02.jpg,full image,pending visual review
major/03_the_empress.png,sources/arcana03.jpg,full image,pending visual review
major/04_the_emperor.png,sources/arcana04.jpg,full image,pending visual review
major/05_the_hierophant.png,sources/arcana05.jpg,full image,pending visual review
major/06_the_lovers.png,sources/arcana06.jpg,full image,pending visual review
major/07_the_chariot.png,sources/arcana07.jpg,full image,pending visual review
major/08_strength.png,sources/arcana08.jpg,full image,pending visual review
major/09_the_hermit.png,sources/arcana09.jpg,full image,pending visual review
major/10_wheel_of_fortune.png,sources/arcana10.jpg,full image,pending visual review
major/11_justice.png,sources/arcana11.jpg,full image,pending visual review
major/12_the_hanged_man.png,sources/arcana12.jpg,full image,pending visual review
major/13_death.png,sources/arcana13.jpg,full image,pending visual review
major/14_temperance.png,sources/arcana14.jpg,full image,pending visual review
major/15_the_devil.png,sources/arcana15.jpg,full image,pending visual review
major/16_the_tower.png,sources/arcana16.jpg,full image,pending visual review
major/17_the_star.png,sources/arcana17.jpg,full image,pending visual review
major/18_the_moon.png,sources/arcana18.jpg,full image,pending visual review
major/19_the_sun.png,sources/arcana19.jpg,full image,pending visual review
major/20_judgement.png,sources/arcana20.jpg,full image,pending visual review
major/21_the_world.png,sources/arcana21.jpg,full image,pending visual review
cups/01_ace_of_cups.png,image-gen-1(4).png,"37,17,464,788",pass
wands/01_ace_of_wands.png,image-gen-1(4).png,"556,17,974,788",pass
swords/01_ace_of_swords.png,image-gen-1(4).png,"37,819,464,1528",pass
pentacles/01_ace_of_pentacles.png,image-gen-1(4).png,"556,819,974,1528",pass
cups/02_two_of_cups.png,华丽塔罗牌四乘四矩阵.png,"20,18,244,414",pass
wands/02_two_of_wands.png,华丽塔罗牌四乘四矩阵.png,"274,18,496,414",pass
swords/02_two_of_swords.png,华丽塔罗牌四乘四矩阵.png,"528,18,750,414",pass
pentacles/02_two_of_pentacles.png,华丽塔罗牌四乘四矩阵.png,"781,18,1004,414",pass
